TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,R
2.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,0.3,0.6268396373591597
2.0,6.0,0.0,1.0,0.0,2.0,1.0,1.0,0.15,0.5000036229071612
0.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,0.65,0.649237059569283
2.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,0.9,0.6781095658147712
2.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.95,0.5240986129350136
2.0,6.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.667216139794103
1.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,0.95,0.6538123341677223
0.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,0.65,0.6297025703334703
1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,0.45,0.6655013753562282
3.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,0.5575845442311517
1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,0.9,0.7066587149317952
2.0,0.0,3.0,2.0,0.0,1.0,3.0,2.0,0.35,0.3551450591100514
0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,0.85,0.6407954361622449
2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.45,0.5349590703578463
3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.3,0.5279371814978004
0.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,0.2,0.5559416487901603
2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.4,0.6107153708024181
3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.3,0.5090522915061744
0.0,6.0,3.0,3.0,0.0,2.0,2.0,0.0,0.4,0.5487246398324899
1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.75,0.6346618319682822
3.0,3.0,1.0,1.0,0.0,3.0,3.0,1.0,0.95,0.4626660537346027
1.0,5.0,3.0,3.0,1.0,0.0,3.0,1.0,0.35,0.5111309927654938
1.0,5.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,0.6384430695561509
3.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.3,0.4199863975957716
3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.55,0.5449401055574391
0.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.7,0.5656909148584491
1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,0.5,0.6085633459086277
1.0,6.0,2.0,4.0,1.0,1.0,3.0,0.0,0.25,0.6463190104100491
0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.15,0.399012610279009
2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.15,0.5020278670232146
1.0,6.0,3.0,0.0,1.0,1.0,3.0,1.0,0.8,0.5629517706158955
2.0,4.0,1.0,1.0,0.0,3.0,3.0,2.0,0.2,0.54476056723348
3.0,4.0,2.0,1.0,1.0,2.0,3.0,0.0,0.6,0.4669281530016241
3.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,0.05,0.4603475660496335
1.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,0.8,0.6788607725955211
3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.45,0.6016569181122068
3.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,0.4,0.5697965253578611
0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.7020417512137103
1.0,6.0,1.0,4.0,0.0,2.0,1.0,0.0,0.45,0.6424995170784484
3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,0.1,0.5508706207155302
3.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.65,0.6128579844159843
1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.55,0.5622114221338731
0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2,0.6362714250689441
1.0,2.0,3.0,4.0,0.0,3.0,3.0,1.0,0.5,0.5934932924254166
2.0,3.0,3.0,1.0,0.0,2.0,2.0,2.0,0.8,0.5426178395405357
2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.05,0.47582138808320484
3.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.2,0.3980846167121271
2.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.2,0.6018573250197939
3.0,6.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.6011740920845624
0.0,3.0,1.0,1.0,0.0,3.0,3.0,2.0,0.35,0.5770215377023127
3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5140191172816125
2.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,0.4,0.5555555817199587
1.0,6.0,2.0,0.0,0.0,3.0,3.0,1.0,0.55,0.5486448455207925
0.0,5.0,0.0,2.0,0.0,3.0,3.0,1.0,0.55,0.5869138440239184
2.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0.35,0.6030278682124676
1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.50459534293117
2.0,4.0,2.0,3.0,0.0,3.0,3.0,1.0,0.35,0.6527247035298617
2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.35,0.5730387073384832
0.0,6.0,2.0,1.0,0.0,1.0,2.0,1.0,0.6,0.5523341637824017
0.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.65,0.4713881235932198
3.0,4.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,0.4314214478809408
0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.35,0.6610224524175304
0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.1,0.555308801687038
3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.5638419343902851
2.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,1.0,0.6316457417811269
1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.4,0.694676577698171
0.0,5.0,2.0,4.0,1.0,2.0,0.0,2.0,0.4,0.5374642457093105
2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.55,0.5920472523284689
3.0,4.0,0.0,2.0,1.0,2.0,3.0,0.0,0.2,0.4183024546224444
3.0,4.0,3.0,3.0,0.0,1.0,3.0,1.0,0.5,0.351465383395481
0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.45,0.533122860577666
1.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.597802831521746
3.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.3,0.44523582321364874
3.0,6.0,3.0,1.0,0.0,1.0,0.0,2.0,0.75,0.3932118681872009
1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.45,0.6037549993638289
0.0,2.0,3.0,4.0,0.0,1.0,3.0,1.0,0.35,0.516152270600717
0.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,0.5,0.5659435630974191
3.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,0.2,0.4769230747641974
2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.9,0.534749748634685
1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.6811285028367813
0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.75,0.4932353031950084
0.0,4.0,2.0,3.0,0.0,1.0,3.0,0.0,0.25,0.4875697081037296
3.0,6.0,3.0,3.0,0.0,3.0,3.0,1.0,0.65,0.45882218463669117
2.0,5.0,3.0,0.0,1.0,3.0,1.0,1.0,0.55,0.5936896818786795
3.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.05,0.4945843629443907
0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.7,0.5097072732554514
3.0,5.0,2.0,4.0,0.0,3.0,3.0,1.0,1.0,0.5020412684721807
2.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,0.9,0.6185082293087141
3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.6231039019540099
1.0,6.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0.715961581481266
3.0,6.0,3.0,3.0,0.0,1.0,3.0,0.0,0.05,0.36195405461673663
3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.4954228969836881
1.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,0.55,0.6701548476643852
1.0,5.0,0.0,0.0,1.0,3.0,2.0,1.0,0.5,0.5929966507615837
1.0,5.0,3.0,2.0,0.0,1.0,0.0,2.0,0.6,0.44094681348804454
3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,0.9,0.6347408099125503
0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.47816094280505494
2.0,5.0,3.0,2.0,0.0,3.0,2.0,0.0,0.95,0.5842686086357418
2.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.6652274060772847
2.0,4.0,1.0,4.0,0.0,3.0,3.0,1.0,0.45,0.6317703058946824
3.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.55,0.6334069621583569
0.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,0.3,0.5975527233718266
3.0,6.0,0.0,3.0,0.0,3.0,3.0,0.0,0.8,0.5323372986630921
2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.4,0.6606920196672667
1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.3,0.6129002416573415
2.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0,0.3,0.5685527560226901
1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,0.65,0.6728455046626118
2.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.95,0.6283577568284167
1.0,6.0,2.0,2.0,0.0,3.0,0.0,2.0,0.8,0.6578184367284525
3.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,0.5801227364612098
0.0,6.0,0.0,3.0,1.0,1.0,3.0,0.0,0.25,0.5342993585391471
0.0,5.0,3.0,4.0,0.0,0.0,3.0,1.0,0.95,0.540069072181918
2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.35,0.575031847568722
3.0,5.0,0.0,2.0,0.0,2.0,1.0,1.0,0.2,0.6155972583578058
0.0,4.0,0.0,2.0,0.0,1.0,3.0,0.0,0.8,0.5530662859895222
3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.85,0.5252090865543804
1.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,0.9,0.5667360403309293
2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,0.4,0.6485198192194125
2.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,0.85,0.6911600363177961
0.0,6.0,1.0,2.0,0.0,3.0,1.0,0.0,0.7,0.6370564886291098
3.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,0.47900586115393534
0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.4,0.6834455634228966
3.0,5.0,2.0,3.0,1.0,1.0,3.0,2.0,0.25,0.420285995041287
1.0,6.0,3.0,0.0,1.0,3.0,0.0,1.0,0.5,0.5407260230784063
1.0,1.0,3.0,4.0,0.0,3.0,1.0,1.0,0.6,0.6522007915475351
0.0,6.0,1.0,3.0,0.0,3.0,3.0,0.0,0.15,0.4700527423291241
2.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.25,0.5186896297835442
0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.25,0.5869900857511009
1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.75,0.6349491862928746
0.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,0.7,0.5938093517092602
3.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.65,0.5217209494717565
1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.45,0.6210686230746426
3.0,5.0,3.0,0.0,1.0,2.0,1.0,1.0,0.75,0.5499663757969117
3.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.45,0.6085162065431913
1.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.65,0.5885195533380799
2.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,0.25,0.5366343204714404
1.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,0.9,0.6309121467415486
2.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,0.8,0.659897630473774
0.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,0.95,0.6130675735039387
0.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.9,0.6625625390268253
0.0,6.0,0.0,3.0,1.0,2.0,0.0,1.0,0.1,0.4479519521605077
2.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0.3,0.6036916380375275
2.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.8,0.5077433917120117
1.0,6.0,1.0,1.0,1.0,2.0,0.0,2.0,0.7,0.5583591948217308
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.15,0.6251950567929351
2.0,5.0,0.0,2.0,0.0,2.0,2.0,1.0,0.45,0.5140574209147422
1.0,2.0,0.0,3.0,1.0,0.0,3.0,0.0,0.45,0.5058074195751414
2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.25,0.5314979299110022
3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,0.6,0.6783951129565369
1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.9,0.6792818491584479
0.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,0.6,0.616651778780191
3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.05,0.5061446224687058
2.0,5.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.4495462199334708
3.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,0.05,0.4602932192884489
1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.6559090021092042
2.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.1,0.5735629307856953
0.0,2.0,1.0,4.0,1.0,3.0,3.0,0.0,0.75,0.6379544499811435
1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.9,0.7452590704092145
1.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.35,0.5758517972937641
1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.25,0.639260224614724
1.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.55,0.6227841799275862
1.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.35,0.5825399808950942
3.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.85,0.5736504997159264
2.0,6.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,0.691290318099133
3.0,6.0,3.0,0.0,1.0,2.0,1.0,1.0,0.2,0.5233310164410266
0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.1,0.4233299361709157
0.0,6.0,3.0,1.0,0.0,0.0,2.0,2.0,0.4,0.5380670331974732
0.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,0.65,0.4714990995996946
3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.4427167578710775
3.0,2.0,3.0,2.0,0.0,3.0,3.0,1.0,1.0,0.6024587435457457
3.0,6.0,1.0,2.0,1.0,1.0,0.0,2.0,0.45,0.47569044813499745
2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,0.45,0.6939982076021701
0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.45,0.5291697918215444
3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.35,0.4876060403083211
1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.75,0.49545682976118044
2.0,5.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.5746715027932046
3.0,6.0,2.0,2.0,0.0,2.0,2.0,1.0,0.3,0.5599418667422621
3.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,0.85,0.6135826405008975
1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.6187976291109003
3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.2,0.5205539375952629
1.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0,0.65,0.647527437580577
3.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,0.65,0.45261674087828446
0.0,5.0,1.0,4.0,1.0,0.0,3.0,2.0,0.3,0.40423513208630435
3.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.3,0.6183280577415534
0.0,4.0,1.0,4.0,0.0,3.0,1.0,0.0,0.95,0.5620684886289496
2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.75,0.5525476155316524
2.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.4,0.5888979829605833
1.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,0.95,0.5739781562495002
3.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,0.45,0.5845368168922435
2.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.6,0.6054102384893548
0.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,0.95,0.5519972705214885
3.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.5368602940187577
1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.35,0.5391281207721726
0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.95,0.5349292086588159
2.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.3,0.4288515655801919
2.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.9,0.5681883118423016
0.0,6.0,3.0,4.0,0.0,0.0,3.0,1.0,0.3,0.49183774240491457
0.0,0.0,0.0,4.0,1.0,3.0,3.0,1.0,0.95,0.604510095335453
0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,0.5016222343615545
2.0,6.0,2.0,3.0,0.0,3.0,2.0,1.0,0.8,0.7037323927313716
2.0,6.0,1.0,1.0,0.0,3.0,3.0,1.0,0.2,0.4621362212803972
1.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,0.9,0.6712242131908142
3.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.55,0.5279701165035059
0.0,3.0,1.0,2.0,0.0,3.0,3.0,2.0,0.75,0.6304086834215463
0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.35,0.6232562235624989
0.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0,0.75,0.49051002502044566
1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.35,0.6407431113314223
3.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,0.05,0.471590123735822
1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.7,0.5443590810862582
3.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,0.95,0.6292186232413661
3.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0,0.85,0.6973871644804326
3.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,0.1,0.4891207275491934
2.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,0.25,0.5842192962776627
3.0,5.0,1.0,3.0,0.0,1.0,2.0,2.0,0.25,0.5127343476676887
1.0,5.0,1.0,0.0,1.0,0.0,3.0,2.0,0.4,0.6388153298041361
1.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.9,0.5335366297880948
3.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,0.9,0.4842019677536395
2.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,0.8,0.549778210989509
0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.05,0.5929991374242152
1.0,2.0,2.0,3.0,0.0,1.0,2.0,1.0,0.4,0.690912974891453
0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.6,0.624812736095554
3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.15,0.4714797065781991
1.0,6.0,2.0,0.0,1.0,1.0,3.0,1.0,0.5,0.6187250163669052
2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.4,0.5880104094818359
3.0,2.0,2.0,3.0,0.0,3.0,3.0,1.0,0.65,0.6403652741437641
1.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,0.95,0.7458618299378301
1.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.45,0.5878954788699436
1.0,0.0,2.0,4.0,1.0,0.0,3.0,1.0,0.35,0.6721321207157498
1.0,6.0,0.0,3.0,0.0,3.0,3.0,0.0,0.25,0.50422407933728
3.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.25,0.4268198656784974
0.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,0.3,0.6570701175324245
1.0,6.0,1.0,3.0,1.0,2.0,3.0,2.0,0.7,0.634913617352744
3.0,3.0,3.0,4.0,1.0,3.0,1.0,0.0,0.25,0.5683272721169127
2.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.65,0.5667696656210113
1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.8,0.6691402981949018
0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.25,0.42765199055233116
3.0,3.0,3.0,2.0,1.0,3.0,3.0,0.0,0.7,0.5890203483762041
3.0,5.0,3.0,1.0,0.0,2.0,3.0,0.0,0.9,0.5244050241890241
2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.35,0.6425569155720429
2.0,5.0,3.0,2.0,1.0,2.0,0.0,0.0,0.75,0.6410240622100071
0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,0.95,0.5933784698520321
2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5486395096112406
0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.7,0.6462000123896253
1.0,6.0,1.0,3.0,0.0,3.0,2.0,0.0,0.35,0.6170576106312259
3.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,0.5,0.5493808879904423
3.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.7,0.44416526733956835
3.0,1.0,3.0,3.0,1.0,3.0,0.0,2.0,0.05,0.32279268515086273
3.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.55,0.4689040018323746
0.0,5.0,3.0,2.0,0.0,1.0,3.0,2.0,0.15,0.45637181489246204
0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.85,0.48273837831013267
3.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.3,0.6169902582387908
0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.15,0.5687731122214483
2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.7,0.6052950195658974
0.0,3.0,2.0,4.0,0.0,2.0,2.0,1.0,0.35,0.5622103434876454
0.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,0.3,0.5479938575554896
